Année,Cause,Data qualifier,Juridiction,Jurisdiction,Niveau d'intervention,Number,Origine,Protection zone,Response category,Year,Zone de protection
1996,Forest industry,a,Colombie-Britannique,British Columbia,Normale,130,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Colombie-Britannique,British Columbia,Normale,62,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,r,Colombie-Britannique,British Columbia,Normale,3,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Colombie-Britannique,British Columbia,Normale,7,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,p,Colombie-Britannique,British Columbia,Normale,8,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Colombie-Britannique,British Columbia,Normale,4,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Colombie-Britannique,British Columbia,Normale,12,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Colombie-Britannique,British Columbia,Normale,5,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Colombie-Britannique,British Columbia,Normale,6,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Colombie-Britannique,British Columbia,Normale,3,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Colombie-Britannique,British Columbia,Normale,8,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Colombie-Britannique,British Columbia,Normale,11,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Colombie-Britannique,British Columbia,Normale,10,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Colombie-Britannique,British Columbia,Normale,26,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Colombie-Britannique,British Columbia,Normale,11,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Colombie-Britannique,British Columbia,Normale,4,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,p,Colombie-Britannique,British Columbia,Normale,10,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Colombie-Britannique,British Columbia,Normale,19,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Colombie-Britannique,British Columbia,Normale,12,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Colombie-Britannique,British Columbia,Normale,29,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Colombie-Britannique,British Columbia,Normale,11,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,a,Colombie-Britannique,British Columbia,Normale,21,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,U,Manitoba,Manitoba,Normale,,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,U,Manitoba,Manitoba,Normale,,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,U,Manitoba,Manitoba,Normale,,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,U,Manitoba,Manitoba,Normale,,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,U,Manitoba,Manitoba,Normale,,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,U,Manitoba,Manitoba,Normale,,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Manitoba,Manitoba,Normale,1,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Manitoba,Manitoba,Normale,1,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Manitoba,Manitoba,Normale,3,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Manitoba,Manitoba,Normale,4,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,a,Manitoba,Manitoba,Normale,4,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Manitoba,Manitoba,Normale,0,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Manitoba,Manitoba,Normale,4,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Manitoba,Manitoba,Normale,13,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Manitoba,Manitoba,Normale,2,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Manitoba,Manitoba,Normale,1,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Manitoba,Manitoba,Normale,8,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Manitoba,Manitoba,Normale,8,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Manitoba,Manitoba,Normale,14,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Manitoba,Manitoba,Normale,0,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Manitoba,Manitoba,Normale,21,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Manitoba,Manitoba,Normale,1,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Manitoba,Manitoba,Normale,3,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Manitoba,Manitoba,Normale,10,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Manitoba,Manitoba,Normale,1,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Manitoba,Manitoba,Normale,2,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Manitoba,Manitoba,Normale,0,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,a,Manitoba,Manitoba,Normale,0,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,n,Parcs nationaux,National parks,Normale,,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,u,Parcs nationaux,National parks,Normale,,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,u,Parcs nationaux,National parks,Normale,,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,u,Parcs nationaux,National parks,Normale,,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Parcs nationaux,National parks,Normale,1,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Parcs nationaux,National parks,Normale,1,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Parcs nationaux,National parks,Normale,3,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,a,Parcs nationaux,National parks,Normale,0,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,24,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,23,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,10,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,11,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,26,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,27,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,17,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,37,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,16,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,29,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,11,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,22,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,11,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,6,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,5,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,10,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,7,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,5,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,10,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,7,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,8,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,1,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,9,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,8,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,8,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Nouveau-Brunswick,New Brunswick,Normale,6,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,u,Nouveau-Brunswick,New Brunswick,Normale,,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,p,Nouveau-Brunswick,New Brunswick,Normale,0,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,5,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,6,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,5,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,7,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,5,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,3,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,3,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,5,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,4,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,6,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,5,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,9,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,4,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,6,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,0,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,3,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,2,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,1,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,0,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,3,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,2,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,1,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,2,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,0,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,2,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,4,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,3,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,a,Terre-Neuve-et-Labrador,Newfoundland and Labrador,Normale,1,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,15,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,17,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,8,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,8,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,10,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,10,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,7,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,7,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,8,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,26,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,7,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,19,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,5,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,6,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,4,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,6,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,6,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,8,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,5,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,3,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,4,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,2,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,7,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,1,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,0,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,2,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,5,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,a,Nouvelle-Écosse,Nova Scotia,Normale,4,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Ontario,Ontario,Normale,30,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Ontario,Ontario,Normale,38,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Ontario,Ontario,Normale,22,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Ontario,Ontario,Normale,13,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Ontario,Ontario,Normale,14,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Ontario,Ontario,Normale,41,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Ontario,Ontario,Normale,25,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,a,Ontario,Ontario,Normale,53,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Ontario,Ontario,Normale,32,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Ontario,Ontario,Normale,47,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,a,Ontario,Ontario,Normale,47,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Ontario,Ontario,Normale,33,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Ontario,Ontario,Normale,29,Industrie forestiere,Intensive,Full,2002,Intensive
2003,Forest industry,a,Ontario,Ontario,Normale,22,Industrie forestiere,Intensive,Full,2003,Intensive
2004,Forest industry,a,Ontario,Ontario,Normale,27,Industrie forestiere,Intensive,Full,2004,Intensive
2005,Forest industry,a,Ontario,Ontario,Normale,38,Industrie forestiere,Intensive,Full,2005,Intensive
2006,Forest industry,a,Ontario,Ontario,Normale,27,Industrie forestiere,Intensive,Full,2006,Intensive
2007,Forest industry,a,Ontario,Ontario,Normale,19,Industrie forestiere,Intensive,Full,2007,Intensive
2008,Forest industry,a,Ontario,Ontario,Normale,2,Industrie forestiere,Intensive,Full,2008,Intensive
2009,Forest industry,a,Ontario,Ontario,Normale,4,Industrie forestiere,Intensive,Full,2009,Intensive
2010,Forest industry,a,Ontario,Ontario,Normale,15,Industrie forestiere,Intensive,Full,2010,Intensive
2011,Forest industry,a,Ontario,Ontario,Normale,29,Industrie forestiere,Intensive,Full,2011,Intensive
2012,Forest industry,a,Ontario,Ontario,Normale,24,Industrie forestiere,Intensive,Full,2012,Intensive
2013,Forest industry,a,Ontario,Ontario,Normale,13,Industrie forestiere,Intensive,Full,2013,Intensive
2014,Forest industry,a,Ontario,Ontario,Normale,6,Industrie forestiere,Intensive,Full,2014,Intensive
2015,Forest industry,a,Ontario,Ontario,Normale,14,Industrie forestiere,Intensive,Full,2015,Intensive
2016,Forest industry,a,Ontario,Ontario,Normale,24,Industrie forestiere,Intensive,Full,2016,Intensive
2017,Forest industry,a,Ontario,Ontario,Normale,12,Industrie forestiere,Intensive,Full,2017,Intensive
1990,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,0,Industrie forestiere,Intensive,Full,1990,Intensive
1991,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,2,Industrie forestiere,Intensive,Full,1991,Intensive
1992,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,1,Industrie forestiere,Intensive,Full,1992,Intensive
1993,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,1,Industrie forestiere,Intensive,Full,1993,Intensive
1994,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,7,Industrie forestiere,Intensive,Full,1994,Intensive
1995,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,1,Industrie forestiere,Intensive,Full,1995,Intensive
1996,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,0,Industrie forestiere,Intensive,Full,1996,Intensive
1997,Forest industry,u,Île-du-Prince-Édouard,Prince Edward Island,Normale,,Industrie forestiere,Intensive,Full,1997,Intensive
1998,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,2,Industrie forestiere,Intensive,Full,1998,Intensive
1999,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,1,Industrie forestiere,Intensive,Full,1999,Intensive
2000,Forest industry,u,Île-du-Prince-Édouard,Prince Edward Island,Normale,,Industrie forestiere,Intensive,Full,2000,Intensive
2001,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,0,Industrie forestiere,Intensive,Full,2001,Intensive
2002,Forest industry,a,Île-du-Prince-Édouard,Prince Edward Island,Normale,2,Industrie forestiere,Intensive,Full,2002,Intensive
